com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:51:31,950 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:51:32,149 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:51:32,160 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:03,953 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:07,677 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:07,681 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:07,682 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:07,682 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:08,490 com.jackfruit.base.BaseTest.closeApplication(BaseTest.java:98) Closing Browser 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:09,682 com.jackfruit.base.BaseTest.publishReport(BaseTest.java:72) Publishing ExtentReport:./report/19_04_2018_09_51_31.html 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:34,848 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:35,012 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:52:35,022 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
